Career,Skills
backend developer,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, django, flask, sql, microservices"
frontend developer,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, html, css, typescript, responsive design"
full stack developer,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, node.js, sql, api integration"
mobile app developer,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, android, kotlin, swift, firebase"
qa engineer,"manual testing, test cases, selenium, api testing, bug tracking, regression testing, test planning, quality assurance, defect tracking, automation testing, software testing"
software architect,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, system design, microservices, design patterns, scalability, cloud architecture, api design"
data analyst,"python, sql, statistics, pandas, numpy, data visualization, excel, power bi, tableau, data cleaning, reporting, dashboarding, a b testing, business analysis"
business analyst,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, requirements gathering, process mapping, stakeholder management"
bi analyst,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data modeling, dashboard design"
analytics engineer,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, dbt, data modeling, snowflake, etl"
quantitative analyst,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, financial modeling, forecasting"
research analyst,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, research, report writing, data analysis, presentation"
machine learning engineer,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, mlops, feature engineering"
ai engineer,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, transformers, llm, model serving"
nlp engineer,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, nlp, transformers, spacy, text processing"
computer vision engineer,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, opencv, computer vision, image processing, cnn"
applied scientist,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, research, experimentation, statistics, model evaluation"
mlops engineer,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, docker, kubernetes, mlflow, ci cd, model monitoring"
cloud engineer,"linux, aws, azure, docker, kubernetes, terraform, networking, monitoring"
devops engineer,"linux, aws, azure, docker, kubernetes, terraform, networking, monitoring, ci cd"
site reliability engineer,"linux, aws, azure, docker, kubernetes, terraform, networking, monitoring, incident management, scripting"
systems administrator,"linux, aws, azure, docker, kubernetes, terraform, networking, monitoring, windows server, troubleshooting, active directory, backup"
network engineer,"linux, aws, azure, docker, kubernetes, terraform, networking, monitoring, routing, switching, firewalls, tcp ip, network monitoring"
cybersecurity analyst,"network security, siem, incident response, vulnerability assessment, splunk, python, risk assessment, threat analysis, soc monitoring, penetration testing, security monitoring, ethical hacking"
soc analyst,"network security, siem, incident response, vulnerability assessment, splunk, python, risk assessment, log analysis, threat intelligence"
penetration tester,"network security, siem, incident response, vulnerability assessment, splunk, python, risk assessment, penetration testing, web security, burp suite, owasp"
iam engineer,"network security, siem, incident response, vulnerability assessment, splunk, python, risk assessment, identity access management, active directory, okta, sso, mfa, access governance"
grc analyst,"network security, siem, incident response, vulnerability assessment, splunk, python, risk assessment, iso 27001, security compliance, audit, policy management"
product manager,"stakeholder management, roadmapping, jira, agile, scrum, requirements gathering, communication, market research, product strategy"
project manager,"stakeholder management, roadmapping, jira, agile, scrum, requirements gathering, communication, project planning, risk management"
program manager,"stakeholder management, roadmapping, jira, agile, scrum, requirements gathering, communication, program management, governance, risk management"
scrum master,"stakeholder management, roadmapping, jira, agile, scrum, requirements gathering, communication, facilitation, retrospectives, team coaching"
business program analyst,"stakeholder management, roadmapping, jira, agile, scrum, requirements gathering, communication, excel, reporting, governance, project tracking, stakeholder coordination"
ui ux designer,"figma, wireframing, prototyping, user research, visual design, usability testing, design systems"
graphic designer,"figma, wireframing, prototyping, user research, visual design, usability testing, design systems, adobe photoshop, illustrator, branding, layout design, typography, creative suite"
interaction designer,"figma, wireframing, prototyping, user research, visual design, usability testing, design systems, interaction design, journey mapping"
ux researcher,"figma, wireframing, prototyping, user research, visual design, usability testing, design systems, interviews, surveys, analysis"
motion designer,"figma, wireframing, prototyping, user research, visual design, usability testing, design systems, after effects, animation, storyboarding, video editing"
sales executive,"crm, lead generation, negotiation, client management, sales strategy, pipeline management, presentation, communication, customer relationship management"
account manager,"crm, lead generation, negotiation, client management, sales strategy, pipeline management, presentation, upselling, relationship management"
business development manager,"crm, lead generation, negotiation, client management, sales strategy, pipeline management, presentation, market research, client meetings"
inside sales specialist,"crm, lead generation, negotiation, client management, sales strategy, pipeline management, presentation, cold calling, email outreach, lead qualification, communication"
pre sales consultant,"crm, lead generation, negotiation, client management, sales strategy, pipeline management, presentation, product demos, requirements analysis, solution design, proposal writing"
digital marketing specialist,"seo, sem, google analytics, content strategy, social media marketing, campaign management, copywriting, content marketing"
seo specialist,"seo, sem, google analytics, content strategy, social media marketing, campaign management, copywriting, keyword research, google search console, content optimization, analytics"
performance marketing manager,"seo, sem, google analytics, content strategy, social media marketing, campaign management, copywriting, google ads, meta ads, campaign optimization, analytics, budget management"
content strategist,"seo, sem, google analytics, content strategy, social media marketing, campaign management, copywriting, editorial planning, research"
brand manager,"seo, sem, google analytics, content strategy, social media marketing, campaign management, copywriting, brand strategy, campaign planning, consumer insights, communication, creative coordination"
financial analyst,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, financial modeling, variance analysis"
accountant,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, tally, gst, accounts payable, accounts receivable, reconciliation"
investment analyst,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, financial modeling, valuation, research, capital markets"
internal auditor,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, auditing, risk assessment, internal controls, documentation, compliance"
tax consultant,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, gst, income tax, compliance"
risk analyst,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, risk analysis, sql"
talent acquisition specialist,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, sourcing, screening, interview coordination"
hr generalist,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, policy administration"
hrbp,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, stakeholder management, employee relations, organizational development"
learning and development specialist,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, training needs analysis, facilitation, instructional design, learning management systems"
compensation and benefits analyst,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, compensation analysis, benefits administration, excel, benchmarking, reporting"
supply chain analyst,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, erp"
procurement specialist,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, procurement, negotiation, purchase orders"
logistics coordinator,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, shipment tracking, documentation, vendor coordination, communication"
operations analyst,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, reporting, data analysis, coordination"
inventory planner,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, sap, supply planning"
management consultant,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication"
strategy analyst,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, market analysis, research, financial analysis"
operations consultant,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, process mapping, lean"
business transformation analyst,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, project tracking, analysis, process improvement"
legal associate,"legal research, drafting, contract review, compliance, litigation support, documentation"
corporate lawyer,"legal research, drafting, contract review, compliance, litigation support, documentation, contracts, corporate law, negotiation, legal drafting"
