Role,Domain,Aliases,Description,Skills,Education,Experience_Min,Experience_Max,Keywords
Software Developer,Software Engineering,Sowtware Engineer|Software Testing ,"Build and maintaind software based applications ,APIs,Databases etc","Mernstack,Meanstack,Java,C++,Python,HTML,css,javascript,nodejs,Data Structures ,algorithms , git, api,flask,microservices,sql",btech computer science|MCA|BCA|MTech computer science|Be Computer Science,0,10,"Software development,frontend,backend,API, microservices"
Backend Developer,Software Engineering,Python Developer|API Developer,"Build and maintain server-side applications, APIs, databases, and integrations for web and enterprise systems.","python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, django, flask, sql, microservices",btech computer science|be computer engineering|bca|mca|bsc computer science,0,10,"software development, backend, frontend, application development, web services, backend services, api development, database design"
Frontend Developer,Software Engineering,UI Developer|Web Developer,"Develop user-facing web interfaces with component-based frameworks, state management, and accessibility best practices.","python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, html, css, typescript, responsive design",btech computer science|be computer engineering|bca|mca|bsc computer science,0,10,"software development, backend, frontend, application development, web services, frontend applications, user interface, web performance"
Full Stack Developer,Software Engineering,Fullstack Engineer,"Build end-to-end web products across frontend, backend, databases, and deployment workflows.","python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, node.js, sql, api integration",btech computer science|be computer engineering|bca|mca|bsc computer science,0,10,"software development, backend, frontend, application development, web services, full stack development, web product, end to end features"
Mobile App Developer,Software Engineering,Android Developer|iOS Developer,"Create mobile applications, integrate APIs, and optimize app performance and user experience.","python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, android, kotlin, swift, firebase",btech computer science|be computer engineering|bca|mca|bsc computer science,0,10,"software development, backend, frontend, application development, web services, mobile applications, app deployment, device compatibility"
QA Engineer,Software Engineering,Test Engineer|Software Tester,"Design and execute test strategies to ensure software quality, reliability, and release readiness.","manual testing, test cases, selenium, api testing, bug tracking, regression testing, test planning, quality assurance, defect tracking, automation testing, software testing",btech computer science|be computer engineering|bca|mca|bsc computer science,0,10,"quality assurance, software testing, test automation, defect tracking, test execution, uat, regression testing"
Software Architect,Software Engineering,Solutions Architect|Application Architect,"Define technical architecture, platform standards, and scalable design decisions for software systems.","python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, system design, microservices, design patterns, scalability, cloud architecture, api design",btech computer science|be computer engineering|bca|mca|bsc computer science,5,15,"software development, backend, frontend, application development, web services, system architecture, scalable systems, technical leadership"
Data Analyst,Data Science & Analytics,Business Data Analyst,"Analyze business data, create dashboards, and communicate actionable insights to stakeholders.","python, sql, statistics, pandas, numpy, data visualization, excel, power bi, tableau, data cleaning, reporting, dashboarding, a b testing, business analysis",bsc statistics|btech|msc data science|msc statistics|economics,0,8,"analytics, dashboard, insights, forecasting, business intelligence, dashboards, reporting, kpi analysis, data storytelling"
Business Analyst,Data Science & Analytics,Functional Analyst|Requirements Analyst,"Bridge business and technical teams by documenting processes, requirements, and improvement opportunities.","python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, requirements gathering, process mapping, stakeholder management",bsc statistics|btech|msc data science|msc statistics|economics,0,10,"analytics, dashboard, insights, forecasting, business intelligence, business requirements, process analysis, stakeholder coordination"
BI Analyst,Data Science & Analytics,Business Intelligence Analyst,"Develop business intelligence assets, semantic models, and performance dashboards.","python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data modeling, dashboard design",bsc statistics|btech|msc data science|msc statistics|economics,1,10,"analytics, dashboard, insights, forecasting, business intelligence, kpi reporting, dashboarding"
