Role,Domain,Education,Skills,Interests,Recommended_Career
Backend Developer,Software Engineering,btech computer science|be computer engineering|bca|mca|bsc computer science,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, django, flask, sql, microservices","software development, backend, frontend, application development, web services, backend services, api development, database design",backend developer
Frontend Developer,Software Engineering,btech computer science|be computer engineering|bca|mca|bsc computer science,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, html, css, typescript, responsive design","software development, backend, frontend, application development, web services, frontend applications, user interface, web performance",frontend developer
Full Stack Developer,Software Engineering,btech computer science|be computer engineering|bca|mca|bsc computer science,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, node.js, sql, api integration","software development, backend, frontend, application development, web services, full stack development, web product, end to end features",full stack developer
Mobile App Developer,Software Engineering,btech computer science|be computer engineering|bca|mca|bsc computer science,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, android, kotlin, swift, firebase","software development, backend, frontend, application development, web services, mobile applications, app deployment, device compatibility",mobile app developer
QA Engineer,Software Engineering,btech computer science|be computer engineering|bca|mca|bsc computer science,"manual testing, test cases, selenium, api testing, bug tracking, regression testing, test planning, quality assurance, defect tracking, automation testing, software testing","quality assurance, software testing, test automation, defect tracking, test execution, uat, regression testing",qa engineer
Software Architect,Software Engineering,btech computer science|be computer engineering|bca|mca|bsc computer science,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, system design, microservices, design patterns, scalability, cloud architecture, api design","software development, backend, frontend, application development, web services, system architecture, scalable systems, technical leadership",software architect
Data Analyst,Data Science & Analytics,bsc statistics|btech|msc data science|msc statistics|economics,"python, sql, statistics, pandas, numpy, data visualization, excel, power bi, tableau, data cleaning, reporting, dashboarding, a b testing, business analysis","analytics, dashboard, insights, forecasting, business intelligence, dashboards, reporting, kpi analysis, data storytelling",data analyst
Business Analyst,Data Science & Analytics,bsc statistics|btech|msc data science|msc statistics|economics,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, requirements gathering, process mapping, stakeholder management","analytics, dashboard, insights, forecasting, business intelligence, business requirements, process analysis, stakeholder coordination",business analyst
BI Analyst,Data Science & Analytics,bsc statistics|btech|msc data science|msc statistics|economics,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data modeling, dashboard design","analytics, dashboard, insights, forecasting, business intelligence, kpi reporting, dashboarding",bi analyst
Analytics Engineer,Data Science & Analytics,bsc statistics|btech|msc data science|msc statistics|economics,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, dbt, data modeling, snowflake, etl","analytics, dashboard, insights, forecasting, business intelligence, analytics engineering, transformation pipelines, semantic layer",analytics engineer
Quantitative Analyst,Data Science & Analytics,bsc statistics|btech|msc data science|msc statistics|economics,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, financial modeling, forecasting","analytics, dashboard, insights, forecasting, business intelligence, quant modeling, predictive analysis, scenario modeling",quantitative analyst
Research Analyst,Data Science & Analytics,bsc statistics|btech|msc data science|msc statistics|economics,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, research, report writing, data analysis, presentation","analytics, dashboard, insights, forecasting, business intelligence, research reports, secondary research, industry analysis",research analyst
Machine Learning Engineer,Artificial Intelligence,btech computer science|mtech ai|msc ai|msc data science|mca,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, mlops, feature engineering","neural networks, nlp, computer vision, llm, inference, model training, prediction services, feature pipelines",machine learning engineer
AI Engineer,Artificial Intelligence,btech computer science|mtech ai|msc ai|msc data science|mca,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, transformers, llm, model serving","neural networks, nlp, computer vision, llm, inference, llm apps, inference systems, ai deployment",ai engineer
NLP Engineer,Artificial Intelligence,btech computer science|mtech ai|msc ai|msc data science|mca,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, nlp, transformers, spacy, text processing","neural networks, nlp, computer vision, llm, inference, text analytics, language models, information extraction",nlp engineer
Computer Vision Engineer,Artificial Intelligence,btech computer science|mtech ai|msc ai|msc data science|mca,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, opencv, computer vision, image processing, cnn","neural networks, nlp, computer vision, llm, inference, vision systems, image analytics, object detection",computer vision engineer
Applied Scientist,Artificial Intelligence,btech computer science|mtech ai|msc ai|msc data science|mca,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, research, experimentation, statistics, model evaluation","neural networks, nlp, computer vision, llm, inference, research experiments, model evaluation, applied ai research",applied scientist
