Career,Skills
Backend Developer,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, django, flask, sql, microservices"
Frontend Developer,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, html, css, typescript, responsive design"
Full Stack Developer,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, node.js, sql, api integration"
Mobile App Developer,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, android, kotlin, swift, firebase"
QA Engineer,"manual testing, test cases, selenium, api testing, bug tracking, regression testing, test planning, quality assurance, defect tracking, automation testing, software testing"
Software Architect,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, system design, microservices, design patterns, scalability, cloud architecture, api design"
Data Analyst,"python, sql, statistics, pandas, numpy, data visualization, excel, power bi, tableau, data cleaning, reporting, dashboarding, a b testing, business analysis"
Business Analyst,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, requirements gathering, process mapping, stakeholder management"
BI Analyst,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data modeling, dashboard design"
Analytics Engineer,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, dbt, data modeling, snowflake, etl"
Quantitative Analyst,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, financial modeling, forecasting"
Research Analyst,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, research, report writing, data analysis, presentation"
Machine Learning Engineer,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, mlops, feature engineering"
AI Engineer,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, transformers, llm, model serving"
NLP Engineer,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, nlp, transformers, spacy, text processing"
Computer Vision Engineer,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, opencv, computer vision, image processing, cnn"
Applied Scientist,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, research, experimentation, statistics, model evaluation"
MLOps Engineer,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, docker, kubernetes, mlflow, ci cd, model monitoring"
Cloud Engineer,"linux, aws, azure, docker, kubernetes, terraform, networking, monitoring"
DevOps Engineer,"linux, aws, azure, docker, kubernetes, terraform, networking, monitoring, ci cd"
Site Reliability Engineer,"linux, aws, azure, docker, kubernetes, terraform, networking, monitoring, incident management, scripting"
Systems Administrator,"linux, aws, azure, docker, kubernetes, terraform, networking, monitoring, windows server, troubleshooting, active directory, backup"
Network Engineer,"linux, aws, azure, docker, kubernetes, terraform, networking, monitoring, routing, switching, firewalls, tcp ip, network monitoring"
Cybersecurity Analyst,"network security, siem, incident response, vulnerability assessment, splunk, python, risk assessment, threat analysis, soc monitoring, penetration testing, security monitoring, ethical hacking"
SOC Analyst,"network security, siem, incident response, vulnerability assessment, splunk, python, risk assessment, log analysis, threat intelligence"
Penetration Tester,"network security, siem, incident response, vulnerability assessment, splunk, python, risk assessment, penetration testing, web security, burp suite, owasp"
IAM Engineer,"network security, siem, incident response, vulnerability assessment, splunk, python, risk assessment, identity access management, active directory, okta, sso, mfa, access governance"
GRC Analyst,"network security, siem, incident response, vulnerability assessment, splunk, python, risk assessment, iso 27001, security compliance, audit, policy management"
Product Manager,"stakeholder management, roadmapping, jira, agile, scrum, requirements gathering, communication, market research, product strategy"
Project Manager,"stakeholder management, roadmapping, jira, agile, scrum, requirements gathering, communication, project planning, risk management"
Program Manager,"stakeholder management, roadmapping, jira, agile, scrum, requirements gathering, communication, program management, governance, risk management"
Scrum Master,"stakeholder management, roadmapping, jira, agile, scrum, requirements gathering, communication, facilitation, retrospectives, team coaching"
Business Program Analyst,"stakeholder management, roadmapping, jira, agile, scrum, requirements gathering, communication, excel, reporting, governance, project tracking, stakeholder coordination"
UI UX Designer,"figma, wireframing, prototyping, user research, visual design, usability testing, design systems"
Graphic Designer,"figma, wireframing, prototyping, user research, visual design, usability testing, design systems, adobe photoshop, illustrator, branding, layout design, typography, creative suite"
Interaction Designer,"figma, wireframing, prototyping, user research, visual design, usability testing, design systems, interaction design, journey mapping"
UX Researcher,"figma, wireframing, prototyping, user research, visual design, usability testing, design systems, interviews, surveys, analysis"
Motion Designer,"figma, wireframing, prototyping, user research, visual design, usability testing, design systems, after effects, animation, storyboarding, video editing"
Sales Executive,"crm, lead generation, negotiation, client management, sales strategy, pipeline management, presentation, communication, customer relationship management"
Account Manager,"crm, lead generation, negotiation, client management, sales strategy, pipeline management, presentation, upselling, relationship management"
Business Development Manager,"crm, lead generation, negotiation, client management, sales strategy, pipeline management, presentation, market research, client meetings"
Inside Sales Specialist,"crm, lead generation, negotiation, client management, sales strategy, pipeline management, presentation, cold calling, email outreach, lead qualification, communication"
Pre Sales Consultant,"crm, lead generation, negotiation, client management, sales strategy, pipeline management, presentation, product demos, requirements analysis, solution design, proposal writing"
Digital Marketing Specialist,"seo, sem, google analytics, content strategy, social media marketing, campaign management, copywriting, content marketing"
SEO Specialist,"seo, sem, google analytics, content strategy, social media marketing, campaign management, copywriting, keyword research, google search console, content optimization, analytics"
Performance Marketing Manager,"seo, sem, google analytics, content strategy, social media marketing, campaign management, copywriting, google ads, meta ads, campaign optimization, analytics, budget management"
Content Strategist,"seo, sem, google analytics, content strategy, social media marketing, campaign management, copywriting, editorial planning, research"
Brand Manager,"seo, sem, google analytics, content strategy, social media marketing, campaign management, copywriting, brand strategy, campaign planning, consumer insights, communication, creative coordination"
Financial Analyst,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, financial modeling, variance analysis"
Accountant,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, tally, gst, accounts payable, accounts receivable, reconciliation"
Investment Analyst,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, financial modeling, valuation, research, capital markets"
Internal Auditor,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, auditing, risk assessment, internal controls, documentation, compliance"
Tax Consultant,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, gst, income tax, compliance"
Risk Analyst,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, risk analysis, sql"
Talent Acquisition Specialist,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, sourcing, screening, interview coordination"
HR Generalist,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, policy administration"
HRBP,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, stakeholder management, employee relations, organizational development"
Learning and Development Specialist,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, training needs analysis, facilitation, instructional design, learning management systems"
Compensation and Benefits Analyst,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, compensation analysis, benefits administration, excel, benchmarking, reporting"
Supply Chain Analyst,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, erp"
Procurement Specialist,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, procurement, negotiation, purchase orders"
Logistics Coordinator,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, shipment tracking, documentation, vendor coordination, communication"
Operations Analyst,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, reporting, data analysis, coordination"
Inventory Planner,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, sap, supply planning"
Management Consultant,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication"
Strategy Analyst,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, market analysis, research, financial analysis"
Operations Consultant,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, process mapping, lean"
