Role,Experience_Years,Skills,Salary_LPA
Backend Developer,0,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, django, flask, sql, microservices",7.0
Backend Developer,1,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, django, flask, sql, microservices",7.58
Backend Developer,2,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, django, flask, sql, microservices",8.22
Backend Developer,3,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, django, flask, sql, microservices",8.92
Backend Developer,4,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, django, flask, sql, microservices",9.68
Backend Developer,5,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, django, flask, sql, microservices",10.5
Backend Developer,6,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, django, flask, sql, microservices",11.38
Backend Developer,7,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, django, flask, sql, microservices",12.32
Backend Developer,8,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, django, flask, sql, microservices",13.32
Backend Developer,9,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, django, flask, sql, microservices",14.38
Backend Developer,10,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, django, flask, sql, microservices",15.5
Backend Developer,11,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, django, flask, sql, microservices",16.68
Backend Developer,12,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, django, flask, sql, microservices",17.92
Backend Developer,13,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, django, flask, sql, microservices",19.22
Backend Developer,14,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, django, flask, sql, microservices",20.58
Backend Developer,15,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, django, flask, sql, microservices",22.0
Frontend Developer,0,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, html, css, typescript, responsive design",7.0
Frontend Developer,1,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, html, css, typescript, responsive design",7.58
Frontend Developer,2,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, html, css, typescript, responsive design",8.22
Frontend Developer,3,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, html, css, typescript, responsive design",8.92
Frontend Developer,4,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, html, css, typescript, responsive design",9.68
Frontend Developer,5,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, html, css, typescript, responsive design",10.5
Frontend Developer,6,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, html, css, typescript, responsive design",11.38
Frontend Developer,7,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, html, css, typescript, responsive design",12.32
Frontend Developer,8,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, html, css, typescript, responsive design",13.32
Frontend Developer,9,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, html, css, typescript, responsive design",14.38
Frontend Developer,10,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, html, css, typescript, responsive design",15.5
Frontend Developer,11,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, html, css, typescript, responsive design",16.68
Frontend Developer,12,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, html, css, typescript, responsive design",17.92
Frontend Developer,13,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, html, css, typescript, responsive design",19.22
Frontend Developer,14,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, html, css, typescript, responsive design",20.58
Frontend Developer,15,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, html, css, typescript, responsive design",22.0
Full Stack Developer,0,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, node.js, sql, api integration",7.0
Full Stack Developer,1,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, node.js, sql, api integration",7.58
Full Stack Developer,2,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, node.js, sql, api integration",8.22
Full Stack Developer,3,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, node.js, sql, api integration",8.92
Full Stack Developer,4,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, node.js, sql, api integration",9.68
Full Stack Developer,5,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, node.js, sql, api integration",10.5
Full Stack Developer,6,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, node.js, sql, api integration",11.38
Full Stack Developer,7,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, node.js, sql, api integration",12.32
Full Stack Developer,8,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, node.js, sql, api integration",13.32
Full Stack Developer,9,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, node.js, sql, api integration",14.38
Full Stack Developer,10,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, node.js, sql, api integration",15.5
Full Stack Developer,11,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, node.js, sql, api integration",16.68
Full Stack Developer,12,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, node.js, sql, api integration",17.92
Full Stack Developer,13,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, node.js, sql, api integration",19.22
Full Stack Developer,14,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, node.js, sql, api integration",20.58
Full Stack Developer,15,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, react, node.js, sql, api integration",22.0
Mobile App Developer,0,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, android, kotlin, swift, firebase",7.0
Mobile App Developer,1,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, android, kotlin, swift, firebase",7.58
Mobile App Developer,2,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, android, kotlin, swift, firebase",8.22
Mobile App Developer,3,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, android, kotlin, swift, firebase",8.92
Mobile App Developer,4,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, android, kotlin, swift, firebase",9.68
Mobile App Developer,5,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, android, kotlin, swift, firebase",10.5
Mobile App Developer,6,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, android, kotlin, swift, firebase",11.38
Mobile App Developer,7,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, android, kotlin, swift, firebase",12.32
Mobile App Developer,8,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, android, kotlin, swift, firebase",13.32
Mobile App Developer,9,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, android, kotlin, swift, firebase",14.38
Mobile App Developer,10,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, android, kotlin, swift, firebase",15.5
Mobile App Developer,11,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, android, kotlin, swift, firebase",16.68
Mobile App Developer,12,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, android, kotlin, swift, firebase",17.92
Mobile App Developer,13,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, android, kotlin, swift, firebase",19.22
Mobile App Developer,14,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, android, kotlin, swift, firebase",20.58
Mobile App Developer,15,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, android, kotlin, swift, firebase",22.0
QA Engineer,0,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, manual testing, test cases, selenium, api testing, bug tracking, regression testing",7.0
QA Engineer,1,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, manual testing, test cases, selenium, api testing, bug tracking, regression testing",7.58
QA Engineer,2,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, manual testing, test cases, selenium, api testing, bug tracking, regression testing",8.22
QA Engineer,3,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, manual testing, test cases, selenium, api testing, bug tracking, regression testing",8.92
QA Engineer,4,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, manual testing, test cases, selenium, api testing, bug tracking, regression testing",9.68
QA Engineer,5,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, manual testing, test cases, selenium, api testing, bug tracking, regression testing",10.5
QA Engineer,6,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, manual testing, test cases, selenium, api testing, bug tracking, regression testing",11.38
QA Engineer,7,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, manual testing, test cases, selenium, api testing, bug tracking, regression testing",12.32
QA Engineer,8,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, manual testing, test cases, selenium, api testing, bug tracking, regression testing",13.32
QA Engineer,9,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, manual testing, test cases, selenium, api testing, bug tracking, regression testing",14.38
QA Engineer,10,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, manual testing, test cases, selenium, api testing, bug tracking, regression testing",15.5
QA Engineer,11,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, manual testing, test cases, selenium, api testing, bug tracking, regression testing",16.68
QA Engineer,12,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, manual testing, test cases, selenium, api testing, bug tracking, regression testing",17.92
QA Engineer,13,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, manual testing, test cases, selenium, api testing, bug tracking, regression testing",19.22
QA Engineer,14,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, manual testing, test cases, selenium, api testing, bug tracking, regression testing",20.58
QA Engineer,15,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, manual testing, test cases, selenium, api testing, bug tracking, regression testing",22.0
Software Architect,0,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, system design, microservices, design patterns, scalability, cloud architecture, api design",11.0
Software Architect,1,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, system design, microservices, design patterns, scalability, cloud architecture, api design",11.58
Software Architect,2,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, system design, microservices, design patterns, scalability, cloud architecture, api design",12.22
Software Architect,3,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, system design, microservices, design patterns, scalability, cloud architecture, api design",12.92
Software Architect,4,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, system design, microservices, design patterns, scalability, cloud architecture, api design",13.68
Software Architect,5,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, system design, microservices, design patterns, scalability, cloud architecture, api design",14.5
Software Architect,6,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, system design, microservices, design patterns, scalability, cloud architecture, api design",15.38
Software Architect,7,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, system design, microservices, design patterns, scalability, cloud architecture, api design",16.32
Software Architect,8,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, system design, microservices, design patterns, scalability, cloud architecture, api design",17.32
Software Architect,9,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, system design, microservices, design patterns, scalability, cloud architecture, api design",18.38
Software Architect,10,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, system design, microservices, design patterns, scalability, cloud architecture, api design",19.5
Software Architect,11,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, system design, microservices, design patterns, scalability, cloud architecture, api design",20.68
Software Architect,12,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, system design, microservices, design patterns, scalability, cloud architecture, api design",21.92
Software Architect,13,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, system design, microservices, design patterns, scalability, cloud architecture, api design",23.22
Software Architect,14,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, system design, microservices, design patterns, scalability, cloud architecture, api design",24.58
Software Architect,15,"python, java, javascript, data structures, algorithms, git, rest api, unit testing, debugging, system design, microservices, design patterns, scalability, cloud architecture, api design",26.0
Data Analyst,0,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data cleaning, reporting",7.2
Data Analyst,1,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data cleaning, reporting",7.78
Data Analyst,2,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data cleaning, reporting",8.42
Data Analyst,3,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data cleaning, reporting",9.12
Data Analyst,4,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data cleaning, reporting",9.88
Data Analyst,5,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data cleaning, reporting",10.7
Data Analyst,6,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data cleaning, reporting",11.58
Data Analyst,7,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data cleaning, reporting",12.52
Data Analyst,8,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data cleaning, reporting",13.52
Data Analyst,9,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data cleaning, reporting",14.58
Data Analyst,10,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data cleaning, reporting",15.7
